"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Size [B]","Used [B]","Total loaded","Shared loaded","Live","Daemon"
"16:48:47.733, 31.03.2016","0,0","0,0","459.800.576","132.902.192","119.013.376","109.767.576","20.599","0","125","25"
"16:48:48.723, 31.03.2016","2,3","0,0","459.800.576","135.375.656","119.013.376","109.767.576","20.602","0","125","25"
"16:48:49.724, 31.03.2016","1,6","0,0","459.800.576","136.113.472","119.013.376","109.767.576","20.602","0","125","25"
"16:48:50.724, 31.03.2016","1,9","0,0","459.800.576","136.929.984","119.013.376","109.767.576","20.602","0","126","25"
"16:48:51.726, 31.03.2016","1,5","0,0","459.800.576","137.759.512","119.013.376","109.767.576","20.602","0","127","25"
"16:48:52.725, 31.03.2016","1,1","0,0","459.800.576","138.635.328","119.013.376","109.767.576","20.604","0","128","25"
"16:48:53.726, 31.03.2016","2,7","0,0","459.800.576","141.257.720","119.013.376","109.767.576","20.605","0","125","25"
"16:48:54.727, 31.03.2016","1,5","0,0","459.800.576","142.182.824","119.013.376","109.767.576","20.605","0","127","25"
"16:48:55.728, 31.03.2016","1,9","0,0","459.800.576","143.045.416","119.013.376","109.767.576","20.605","0","129","25"
"16:48:56.728, 31.03.2016","4,0","0,0","459.800.576","144.002.808","119.013.376","109.767.576","20.605","0","131","25"
"16:48:57.729, 31.03.2016","0,7","0,0","459.800.576","144.984.072","119.013.376","109.767.576","20.605","0","134","25"
"16:48:58.729, 31.03.2016","1,5","0,0","459.800.576","147.565.160","119.013.376","109.767.576","20.605","0","137","25"
"16:48:59.729, 31.03.2016","0,0","0,0","459.800.576","148.539.392","119.013.376","109.767.576","20.605","0","140","25"
"16:49:00.730, 31.03.2016","4,6","0,0","459.800.576","151.012.096","119.013.376","109.767.576","20.605","0","144","25"
"16:49:01.731, 31.03.2016","2,3","0,0","459.800.576","153.385.400","119.013.376","109.767.576","20.606","0","148","25"
"16:49:02.731, 31.03.2016","3,8","0,0","459.800.576","155.901.752","119.013.376","109.767.576","20.607","0","153","25"
"16:49:03.731, 31.03.2016","3,4","0,0","459.800.576","160.139.424","119.013.376","109.767.576","20.607","0","157","25"
"16:49:04.753, 31.03.2016","7,3","0,0","459.800.576","162.809.984","119.013.376","109.767.576","20.607","0","163","25"
"16:49:05.735, 31.03.2016","1,5","0,0","459.800.576","165.532.616","119.013.376","109.767.576","20.609","0","166","25"
"16:49:06.736, 31.03.2016","3,4","0,0","459.800.576","168.667.664","119.013.376","109.767.576","20.617","0","166","25"
"16:49:07.736, 31.03.2016","5,7","0,4","459.800.576","103.593.368","121.110.528","111.560.704","20.617","0","166","25"
"16:49:08.737, 31.03.2016","3,8","0,0","459.800.576","108.172.328","121.110.528","111.560.704","20.622","0","166","25"
"16:49:09.737, 31.03.2016","2,7","0,0","459.800.576","110.881.920","121.110.528","111.560.704","20.624","0","166","25"
"16:49:10.738, 31.03.2016","2,7","0,0","459.800.576","113.575.592","121.110.528","111.560.704","20.624","0","166","25"
"16:49:11.739, 31.03.2016","1,9","0,0","459.800.576","116.259.312","121.110.528","111.560.704","20.624","0","166","25"
"16:49:12.739, 31.03.2016","8,7","0,0","459.800.576","119.077.784","121.110.528","111.560.704","20.624","0","166","25"
"16:49:13.740, 31.03.2016","2,4","0,0","459.800.576","123.327.672","121.110.528","111.560.704","20.624","0","166","25"
"16:49:14.740, 31.03.2016","4,2","0,0","459.800.576","126.097.928","121.110.528","111.560.704","20.628","0","166","25"
"16:49:15.741, 31.03.2016","3,1","0,0","459.800.576","128.965.936","121.110.528","111.560.704","20.630","0","166","25"
"16:49:16.742, 31.03.2016","3,4","0,0","459.800.576","131.809.464","121.110.528","111.560.704","20.632","0","166","25"
"16:49:17.743, 31.03.2016","0,7","0,0","459.800.576","134.475.040","121.110.528","111.560.704","20.635","0","166","25"
"16:49:18.743, 31.03.2016","3,8","0,0","459.800.576","138.726.784","121.110.528","111.560.704","20.635","0","166","25"
"16:49:19.744, 31.03.2016","5,0","0,0","459.800.576","142.023.584","121.110.528","111.560.704","20.644","0","166","25"
"16:49:20.745, 31.03.2016","5,0","0,0","459.800.576","144.999.376","121.110.528","111.560.704","20.645","0","166","25"
"16:49:21.746, 31.03.2016","3,1","0,0","459.800.576","148.023.712","121.110.528","111.560.704","20.645","0","166","25"
"16:49:22.746, 31.03.2016","10,6","0,0","459.800.576","151.698.840","121.110.528","111.560.704","20.650","0","166","25"
"16:49:23.748, 31.03.2016","9,7","0,0","459.800.576","156.488.448","121.110.528","111.560.704","20.651","0","166","25"
"16:49:24.748, 31.03.2016","6,6","0,0","459.800.576","159.760.904","121.110.528","111.560.704","20.651","0","166","25"
"16:49:25.748, 31.03.2016","11,2","0,2","459.800.576","104.497.352","121.896.960","112.339.320","20.659","0","166","25"
"16:49:26.749, 31.03.2016","5,8","0,0","459.800.576","108.336.464","121.896.960","112.339.320","20.659","0","166","25"
"16:49:27.750, 31.03.2016","11,2","0,0","459.800.576","111.983.288","121.896.960","112.339.320","20.660","0","166","25"
