"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Size [B]","Used [B]","Total loaded","Shared loaded","Live","Daemon"
"17:15:04.025, 31.03.2016","0,0","0,0","467.140.608","128.318.768","120.061.952","110.634.504","20.549","0","130","29"
"17:15:05.018, 31.03.2016","2,0","0,0","467.140.608","130.759.984","120.061.952","110.634.504","20.549","0","131","29"
"17:15:06.022, 31.03.2016","36,4","0,0","467.140.608","135.712.624","120.061.952","110.634.504","20.553","0","173","29"
"17:15:07.022, 31.03.2016","8,8","0,0","467.140.608","138.187.616","120.061.952","110.634.504","20.553","0","174","29"
"17:15:08.022, 31.03.2016","8,5","0,0","467.140.608","140.902.440","120.061.952","110.634.504","20.553","0","174","29"
"17:15:09.344, 31.03.2016","49,6","0,4","467.140.608","158.025.704","121.241.600","111.860.656","20.566","0","175","29"
"17:15:10.342, 31.03.2016","30,0","0,4","467.140.608","106.005.832","121.503.744","112.143.424","20.589","0","175","29"
"17:15:11.344, 31.03.2016","15,1","0,0","467.140.608","115.054.136","121.503.744","112.143.424","20.589","0","175","29"
"17:15:12.345, 31.03.2016","7,7","0,0","467.140.608","117.784.976","121.503.744","112.143.424","20.589","0","175","29"
"17:15:13.347, 31.03.2016","3,4","0,0","467.140.608","120.047.040","121.503.744","112.143.424","20.589","0","175","29"
"17:15:14.348, 31.03.2016","4,4","0,0","467.140.608","122.526.184","121.503.744","112.143.424","20.589","0","175","29"
"17:15:15.350, 31.03.2016","7,0","0,0","467.140.608","126.699.544","121.503.744","112.143.424","20.589","0","173","27"
"17:15:16.785, 31.03.2016","55,3","0,0","467.140.608","154.579.752","121.503.744","112.143.424","20.612","0","170","25"
"17:15:17.533, 31.03.2016","74,0","0,2","467.140.608","111.935.680","123.076.608","113.594.296","20.612","0","171","26"
"17:15:18.533, 31.03.2016","53,5","0,0","467.140.608","137.436.424","123.076.608","113.594.296","20.612","0","171","26"
"17:15:19.539, 31.03.2016","57,1","0,0","467.140.608","165.041.720","123.076.608","113.594.296","20.613","0","171","26"
"17:15:20.540, 31.03.2016","38,8","0,1","462.946.304","121.264.568","124.125.184","114.600.128","20.614","0","171","26"
"17:15:21.541, 31.03.2016","13,2","0,0","462.946.304","128.637.200","124.125.184","114.600.128","20.646","0","171","26"
"17:15:22.542, 31.03.2016","21,5","0,0","462.946.304","148.835.208","124.125.184","114.600.128","20.656","0","171","26"
"17:15:23.542, 31.03.2016","6,2","0,0","462.946.304","154.738.840","124.125.184","114.600.128","20.656","0","171","26"
"17:15:24.549, 31.03.2016","28,5","0,1","464.519.168","113.331.392","124.911.616","115.341.168","20.692","0","171","26"
"17:15:25.551, 31.03.2016","17,4","0,0","464.519.168","123.918.264","124.911.616","115.341.168","20.767","0","167","26"
"17:15:26.553, 31.03.2016","16,2","0,0","464.519.168","138.278.752","124.911.616","115.341.168","20.767","0","167","26"
"17:15:27.553, 31.03.2016","35,4","0,0","464.519.168","161.711.576","124.911.616","115.341.168","20.767","0","167","26"
"17:15:28.554, 31.03.2016","10,0","0,1","460.324.864","110.011.008","125.566.976","115.822.688","20.768","0","167","26"
"17:15:29.554, 31.03.2016","22,9","0,0","460.324.864","129.591.712","125.566.976","115.822.688","20.768","0","167","26"
"17:15:30.603, 31.03.2016","61,1","0,0","460.324.864","151.402.128","125.566.976","115.822.688","20.844","0","167","26"
"17:15:31.604, 31.03.2016","59,1","0,3","455.606.272","109.015.624","126.091.264","116.398.536","20.844","0","167","26"
"17:15:32.604, 31.03.2016","40,8","0,0","455.606.272","127.779.192","126.091.264","116.398.536","20.844","0","167","26"
"17:15:33.605, 31.03.2016","31,0","0,0","455.606.272","145.202.672","126.091.264","116.398.536","20.844","0","167","26"
"17:15:34.606, 31.03.2016","33,1","0,0","455.606.272","162.817.168","126.091.264","116.398.536","20.844","0","167","26"
"17:15:35.607, 31.03.2016","50,5","0,2","452.460.544","124.649.552","126.353.408","116.766.832","20.896","0","167","26"
"17:15:36.648, 31.03.2016","29,4","0,0","452.460.544","141.545.952","126.353.408","116.766.832","20.896","0","167","26"
"17:15:37.649, 31.03.2016","5,2","0,0","452.460.544","154.305.496","126.353.408","116.766.832","20.898","0","167","26"
