"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Size [B]","Used [B]","Total loaded","Shared loaded","Live","Daemon"
"16:54:26.892, 31.03.2016","0,0","0,0","459.800.576","127.600.168","117.309.440","108.336.112","20.070","0","119","26"
"16:54:27.892, 31.03.2016","0,3","0,0","459.800.576","128.395.752","117.309.440","108.336.112","20.070","0","116","24"
"16:54:28.908, 31.03.2016","0,3","0,0","459.800.576","129.105.472","117.309.440","108.336.112","20.070","0","116","24"
"16:54:29.923, 31.03.2016","1,9","0,0","459.800.576","131.774.736","117.309.440","108.336.112","20.070","0","117","24"
"16:54:30.939, 31.03.2016","1,8","0,0","459.800.576","132.758.656","117.309.440","108.336.112","20.070","0","118","24"
"16:54:31.955, 31.03.2016","2,3","0,0","459.800.576","133.864.248","117.309.440","108.336.112","20.073","0","119","24"
"16:54:32.970, 31.03.2016","5,4","0,0","459.800.576","135.043.200","117.309.440","108.336.112","20.079","0","121","24"
"16:54:33.986, 31.03.2016","4,6","0,0","459.800.576","136.717.672","117.309.440","108.336.112","20.087","0","124","24"
"16:54:35.002, 31.03.2016","8,0","0,0","459.800.576","139.851.352","117.309.440","108.336.112","20.092","0","123","24"
"16:54:36.017, 31.03.2016","7,4","0,0","459.800.576","141.468.776","117.309.440","108.336.112","20.099","0","126","24"
"16:54:37.033, 31.03.2016","11,3","0,0","459.800.576","144.007.536","117.309.440","108.336.112","20.139","0","130","24"
"16:54:38.049, 31.03.2016","9,7","0,0","459.800.576","146.679.992","117.309.440","108.336.112","20.144","0","134","24"
"16:54:39.064, 31.03.2016","9,1","0,0","459.800.576","149.013.664","117.309.440","108.336.112","20.149","0","138","24"
"16:54:40.080, 31.03.2016","14,8","0,0","459.800.576","153.824.624","117.309.440","108.336.112","20.165","0","143","24"
"16:54:41.096, 31.03.2016","17,5","0,0","459.800.576","157.048.792","117.309.440","108.336.112","20.192","0","148","24"
"16:54:42.111, 31.03.2016","12,5","0,0","459.800.576","160.169.088","117.309.440","108.336.112","20.192","0","153","24"
"16:54:43.127, 31.03.2016","18,7","0,0","459.800.576","164.118.240","117.309.440","108.336.112","20.215","0","159","24"
"16:54:44.142, 31.03.2016","17,1","0,8","459.800.576","102.857.544","119.275.520","109.946.560","20.224","0","165","24"
"16:54:45.158, 31.03.2016","12,8","0,0","459.800.576","108.590.464","119.275.520","109.946.560","20.224","0","165","24"
"16:54:46.174, 31.03.2016","19,9","0,0","459.800.576","113.377.264","119.275.520","109.946.560","20.226","0","165","24"
"16:54:47.189, 31.03.2016","15,0","0,0","459.800.576","117.956.296","119.275.520","109.946.560","20.231","0","165","24"
"16:54:48.205, 31.03.2016","23,0","0,0","459.800.576","122.208.320","119.275.520","109.946.560","20.232","0","165","24"
"16:54:49.221, 31.03.2016","14,0","0,0","459.800.576","126.468.864","119.275.520","109.946.560","20.232","0","165","24"
"16:54:50.236, 31.03.2016","25,7","0,0","459.800.576","135.871.696","119.275.520","109.946.560","20.251","0","165","24"
"16:54:51.239, 31.03.2016","21,5","0,0","459.800.576","140.609.512","119.275.520","109.946.560","20.254","0","165","24"
"16:54:52.255, 31.03.2016","17,1","0,0","459.800.576","145.542.544","119.275.520","109.946.560","20.254","0","165","24"
"16:54:53.271, 31.03.2016","35,9","0,0","459.800.576","156.147.856","119.275.520","109.946.560","20.396","0","165","24"
"16:54:54.286, 31.03.2016","25,0","0,0","459.800.576","161.403.584","119.275.520","109.946.560","20.396","0","165","24"
"16:54:55.302, 31.03.2016","26,0","0,3","459.800.576","110.668.704","120.979.456","111.528.464","20.396","0","165","24"
"16:54:56.318, 31.03.2016","28,9","0,0","459.800.576","118.014.944","120.979.456","111.528.464","20.399","0","165","24"
"16:54:57.333, 31.03.2016","25,0","0,0","459.800.576","124.487.560","120.979.456","111.528.464","20.403","0","165","24"
"16:54:58.338, 31.03.2016","22,5","0,0","459.800.576","130.698.088","120.979.456","111.528.464","20.405","0","165","24"
"16:54:59.353, 31.03.2016","34,5","0,0","459.800.576","139.014.528","120.979.456","111.528.464","20.431","0","165","24"
"16:55:00.369, 31.03.2016","26,9","0,0","459.800.576","147.860.624","120.979.456","111.528.464","20.441","0","165","24"
"16:55:01.371, 31.03.2016","20,2","0,0","459.800.576","154.511.408","120.979.456","111.528.464","20.441","0","165","24"
"16:55:02.387, 31.03.2016","30,4","0,1","459.800.576","105.662.912","122.421.248","112.687.088","20.502","0","165","24"
"16:55:03.402, 31.03.2016","32,0","0,0","459.800.576","113.812.112","122.421.248","112.687.088","20.502","0","165","24"
"16:55:04.418, 31.03.2016","34,5","0,0","459.800.576","121.706.816","122.421.248","112.687.088","20.504","0","165","24"
"16:55:05.434, 31.03.2016","21,4","0,0","459.800.576","133.728.696","122.421.248","112.687.088","20.504","0","165","24"
"16:55:06.434, 31.03.2016","23,4","0,0","459.800.576","142.044.168","122.421.248","112.687.088","20.504","0","165","24"
"16:55:07.449, 31.03.2016","22,6","0,0","459.800.576","151.240.144","122.421.248","112.687.088","20.505","0","165","24"
"16:55:08.465, 31.03.2016","18,3","0,0","459.800.576","161.724.936","122.421.248","112.687.088","20.506","0","165","24"
"16:55:09.481, 31.03.2016","19,8","0,3","459.800.576","110.827.800","123.207.680","113.279.352","20.506","0","165","24"
"16:55:10.489, 31.03.2016","22,0","0,0","459.800.576","121.776.392","123.207.680","113.279.352","20.506","0","165","24"
"16:55:11.504, 31.03.2016","21,0","0,0","459.800.576","134.891.792","123.207.680","113.279.352","20.524","0","165","24"
"16:55:12.520, 31.03.2016","21,8","0,0","459.800.576","144.178.496","123.207.680","113.279.352","20.524","0","165","24"
"16:55:13.535, 31.03.2016","17,6","0,0","459.800.576","154.549.656","123.207.680","113.279.352","20.524","0","165","24"
"16:55:14.551, 31.03.2016","30,0","0,2","456.654.848","107.252.160","123.994.112","114.038.000","20.538","0","165","24"
"16:55:15.567, 31.03.2016","17,5","0,0","456.654.848","119.176.352","123.994.112","114.038.000","20.538","0","165","24"
"16:55:16.582, 31.03.2016","35,5","0,0","456.654.848","129.454.680","123.994.112","114.038.000","20.538","0","165","24"
"16:55:17.584, 31.03.2016","18,3","0,0","456.654.848","142.918.160","123.994.112","114.038.000","20.538","0","165","24"
"16:55:18.600, 31.03.2016","15,4","0,0","456.654.848","154.882.568","123.994.112","114.038.000","20.538","0","165","24"
"16:55:19.605, 31.03.2016","25,6","0,0","456.654.848","166.341.072","123.994.112","114.038.000","20.538","0","165","24"
"16:55:20.621, 31.03.2016","27,7","0,2","456.654.848","121.146.992","124.256.256","114.418.048","20.538","0","165","24"
"16:55:21.652, 31.03.2016","13,2","0,0","456.654.848","132.257.000","124.256.256","114.418.048","20.538","0","165","24"
"16:55:22.668, 31.03.2016","18,3","0,0","456.654.848","144.679.040","124.256.256","114.418.048","20.538","0","165","24"
"16:55:23.715, 31.03.2016","26,1","0,0","456.654.848","158.534.832","124.256.256","114.418.048","20.538","0","165","24"
"16:55:24.730, 31.03.2016","23,4","0,0","456.654.848","167.489.136","124.256.256","114.418.048","20.538","0","165","24"
"16:55:25.746, 31.03.2016","15,6","0,3","452.984.832","121.585.608","124.780.544","114.926.336","20.538","0","165","24"
"16:55:26.746, 31.03.2016","15,0","0,0","452.984.832","134.684.888","124.780.544","114.926.336","20.538","0","165","24"
"16:55:27.762, 31.03.2016","20,8","0,0","452.984.832","144.335.168","124.780.544","114.926.336","20.538","0","165","24"
"16:55:28.777, 31.03.2016","24,2","0,0","452.984.832","157.946.664","124.780.544","114.926.336","20.538","0","165","24"
"16:55:29.782, 31.03.2016","14,3","0,5","447.741.952","109.273.944","125.042.688","115.075.520","20.539","0","165","24"
"16:55:30.797, 31.03.2016","20,4","0,0","447.741.952","120.976.296","125.042.688","115.075.520","20.539","0","165","24"
"16:55:31.813, 31.03.2016","14,8","0,0","447.741.952","135.420.904","125.042.688","115.075.520","20.539","0","165","24"
"16:55:32.829, 31.03.2016","7,0","0,0","447.741.952","145.878.240","125.042.688","115.075.520","20.539","0","165","24"
"16:55:33.844, 31.03.2016","13,2","0,0","447.741.952","157.454.208","125.042.688","115.075.520","20.540","0","165","24"
"16:55:34.860, 31.03.2016","15,5","0,1","445.120.512","107.920.888","125.042.688","115.210.344","20.540","0","165","24"
"16:55:35.875, 31.03.2016","19,9","0,0","445.120.512","120.593.088","125.042.688","115.210.344","20.540","0","165","24"
"16:55:36.891, 31.03.2016","17,1","0,0","445.120.512","132.498.600","125.042.688","115.210.344","20.573","0","168","26"
"16:55:37.907, 31.03.2016","17,6","0,0","445.120.512","146.872.392","125.042.688","115.210.344","20.573","0","168","26"
"16:55:38.907, 31.03.2016","15,2","0,0","445.120.512","158.045.160","125.042.688","115.210.344","20.573","0","168","26"
"16:55:39.922, 31.03.2016","11,3","0,0","445.120.512","169.181.800","125.042.688","115.210.344","20.573","0","168","26"
"16:55:40.938, 31.03.2016","12,1","0,5","439.877.632","118.462.688","125.435.904","115.686.456","20.573","0","168","26"
"16:55:41.954, 31.03.2016","23,8","0,0","439.877.632","132.778.968","125.435.904","115.686.456","20.573","0","168","26"
"16:55:42.954, 31.03.2016","21,8","0,0","439.877.632","143.965.208","125.435.904","115.686.456","20.573","0","168","26"
"16:55:43.969, 31.03.2016","10,2","0,0","439.877.632","155.258.832","125.435.904","115.686.456","20.574","0","168","26"
"16:55:44.969, 31.03.2016","20,3","0,0","439.877.632","169.340.208","125.435.904","115.686.456","20.574","0","168","26"
"16:55:45.985, 31.03.2016","19,5","0,2","437.256.192","114.917.856","125.435.904","115.739.312","20.574","0","168","26"
"16:55:46.985, 31.03.2016","26,1","0,0","437.256.192","127.548.752","125.435.904","115.739.312","20.574","0","168","26"
"16:55:47.999, 31.03.2016","7,9","0,0","437.256.192","140.375.200","125.435.904","115.739.312","20.574","0","168","26"
"16:55:49.002, 31.03.2016","10,1","0,0","437.256.192","151.445.504","125.435.904","115.739.312","20.574","0","168","26"
"16:55:50.018, 31.03.2016","26,1","0,0","437.256.192","164.060.760","125.435.904","115.739.312","20.575","0","168","26"
"16:55:51.021, 31.03.2016","17,3","0,4","432.013.312","113.120.088","125.435.904","115.860.952","20.575","0","168","26"
"16:55:52.036, 31.03.2016","17,1","0,0","432.013.312","124.043.712","125.435.904","115.860.952","20.575","0","168","26"
"16:55:53.052, 31.03.2016","17,5","0,0","432.013.312","135.182.424","125.435.904","115.860.952","20.575","0","168","26"
"16:55:54.068, 31.03.2016","23,1","0,0","432.013.312","149.417.808","125.435.904","115.860.952","20.575","0","168","26"
"16:55:55.068, 31.03.2016","15,2","0,0","432.013.312","160.616.864","125.435.904","115.860.952","20.575","0","168","26"
"16:55:56.083, 31.03.2016","17,1","0,0","432.013.312","172.465.264","125.435.904","115.860.952","20.576","0","168","26"
"16:55:57.099, 31.03.2016","16,0","0,5","429.391.872","120.368.552","125.698.048","115.932.520","20.576","0","168","26"
"16:55:58.115, 31.03.2016","9,7","0,0","429.391.872","131.556.664","125.698.048","115.932.520","20.576","0","168","26"
"16:55:59.118, 31.03.2016","15,2","0,0","429.391.872","142.016.600","125.698.048","115.932.520","20.576","0","168","26"
"16:56:00.122, 31.03.2016","15,5","0,0","429.391.872","156.747.272","125.698.048","115.932.520","20.576","0","168","26"
"16:56:01.138, 31.03.2016","8,9","0,0","429.391.872","169.187.264","125.698.048","115.932.520","20.576","0","168","26"
"16:56:02.153, 31.03.2016","10,1","0,4","425.197.568","112.495.232","125.698.048","115.967.584","20.576","0","168","26"
"16:56:03.169, 31.03.2016","11,3","0,0","425.197.568","124.397.640","125.698.048","115.967.584","20.576","0","168","26"
"16:56:04.185, 31.03.2016","17,6","0,0","425.197.568","138.460.704","125.698.048","115.967.584","20.576","0","168","26"
"16:56:05.185, 31.03.2016","18,3","0,0","425.197.568","148.744.088","125.698.048","115.967.584","20.576","0","168","26"
"16:56:06.200, 31.03.2016","14,4","0,0","425.197.568","162.116.560","125.698.048","115.967.584","20.576","0","168","26"
"16:56:07.216, 31.03.2016","19,5","0,0","425.197.568","176.114.104","125.698.048","115.967.584","20.577","0","168","26"
"16:56:08.232, 31.03.2016","10,9","0,3","422.051.840","117.748.464","125.698.048","116.033.040","20.577","0","168","26"
"16:56:09.247, 31.03.2016","5,8","0,0","422.051.840","129.558.104","125.698.048","116.033.040","20.578","0","168","26"
"16:56:10.263, 31.03.2016","10,5","0,0","422.051.840","143.001.176","125.698.048","116.033.040","20.579","0","168","26"
"16:56:11.278, 31.03.2016","12,8","0,0","422.051.840","155.200.952","125.698.048","116.033.040","20.579","0","168","26"
"16:56:12.294, 31.03.2016","12,8","0,0","422.051.840","165.999.056","125.698.048","116.033.040","20.579","0","168","26"
"16:56:13.294, 31.03.2016","8,2","0,0","422.051.840","174.991.304","125.698.048","116.033.040","20.579","0","168","26"
"16:56:14.310, 31.03.2016","10,7","0,2","417.857.536","119.127.536","125.698.048","116.084.184","20.579","0","168","26"
"16:56:15.325, 31.03.2016","9,1","0,0","417.857.536","130.818.816","125.698.048","116.084.184","20.579","0","168","26"
"16:56:16.341, 31.03.2016","9,7","0,0","417.857.536","142.686.808","125.698.048","116.084.184","20.579","0","168","26"
"16:56:17.357, 31.03.2016","9,7","0,0","417.857.536","154.556.864","125.698.048","116.084.184","20.579","0","168","26"
"16:56:18.372, 31.03.2016","7,8","0,0","417.857.536","165.059.504","125.698.048","116.084.184","20.579","0","168","26"
"16:56:19.388, 31.03.2016","5,5","0,0","417.857.536","174.771.360","125.698.048","116.084.184","20.579","0","168","26"
"16:56:20.404, 31.03.2016","42,1","0,5","414.711.808","118.360.928","125.698.048","116.108.800","20.579","0","169","27"
"16:56:21.404, 31.03.2016","53,9","0,0","414.711.808","128.389.256","125.698.048","116.108.800","20.579","0","169","27"
"16:56:22.411, 31.03.2016","54,3","0,0","414.711.808","137.597.816","125.698.048","116.108.800","20.579","0","169","27"
"16:56:23.427, 31.03.2016","50,3","0,0","414.711.808","148.659.880","125.698.048","116.108.800","20.579","0","169","27"
"16:56:24.432, 31.03.2016","17,1","0,0","414.711.808","158.064.256","125.698.048","116.108.800","20.579","0","169","27"
"16:56:25.447, 31.03.2016","4,7","0,0","414.711.808","168.085.824","125.698.048","116.108.800","20.579","0","169","27"
"16:56:26.456, 31.03.2016","8,3","0,0","414.711.808","177.717.992","125.698.048","116.108.800","20.579","0","169","27"
"16:56:27.472, 31.03.2016","10,1","0,4","411.566.080","116.446.464","125.698.048","116.140.384","20.579","0","169","27"
"16:56:28.488, 31.03.2016","9,5","0,0","411.566.080","125.106.840","125.698.048","116.140.384","20.579","0","169","27"
"16:56:29.503, 31.03.2016","6,6","0,0","411.566.080","133.606.152","125.698.048","116.140.384","20.579","0","169","27"
"16:56:30.519, 31.03.2016","7,4","0,0","411.566.080","143.319.696","125.698.048","116.140.384","20.579","0","169","27"
"16:56:31.535, 31.03.2016","3,9","0,0","411.566.080","151.092.728","125.698.048","116.140.384","20.579","0","169","27"
"16:56:32.543, 31.03.2016","5,9","0,0","411.566.080","158.964.760","125.698.048","116.140.384","20.579","0","169","27"
"16:56:33.558, 31.03.2016","4,2","0,0","411.566.080","166.354.912","125.698.048","116.140.384","20.579","0","169","27"
"16:56:34.574, 31.03.2016","9,7","0,0","411.566.080","173.779.152","125.698.048","116.140.384","20.579","0","169","27"
"16:56:35.589, 31.03.2016","8,2","0,5","408.420.352","111.150.240","125.960.192","116.175.968","20.579","0","169","27"
