"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Size [B]","Used [B]","Total loaded","Shared loaded","Live","Daemon"
"17:09:39.550, 31.03.2016","0,0","0,0","372.768.768","182.119.144","107.347.968","98.860.600","20.107","0","120","25"
"17:09:40.566, 31.03.2016","0,7","0,0","372.768.768","182.901.800","107.347.968","98.860.600","20.107","0","120","25"
"17:09:41.566, 31.03.2016","49,6","0,5","372.768.768","110.123.056","117.702.656","108.818.632","20.196","0","170","25"
"17:09:42.582, 31.03.2016","52,5","0,0","372.768.768","127.830.760","117.702.656","108.818.632","20.206","0","170","25"
"17:09:43.597, 31.03.2016","82,4","0,0","372.768.768","161.103.344","117.702.656","108.818.632","20.271","0","170","25"
"17:09:45.035, 31.03.2016","90,0","0,3","372.244.480","167.905.784","121.765.888","112.192.072","20.298","0","167","26"
"17:09:47.070, 31.03.2016","0,0","0,0","372.244.480","167.905.784","121.765.888","112.192.072","20.298","0","167","26"
"17:09:47.101, 31.03.2016","0,0","0,0","372.244.480","167.905.784","121.765.888","112.192.072","20.298","0","167","26"
"17:09:48.023, 31.03.2016","87,0","0,5","368.050.176","140.560.464","122.028.032","112.901.720","20.298","0","168","27"
"17:09:49.038, 31.03.2016","78,5","0,6","372.244.480","119.319.440","122.552.320","113.374.480","20.329","0","168","27"
"17:09:50.054, 31.03.2016","82,0","0,7","367.001.600","99.669.168","124.649.472","114.676.640","20.633","0","168","27"
"17:09:51.070, 31.03.2016","46,7","0,0","367.001.600","112.091.584","124.649.472","114.676.640","20.633","0","168","27"
"17:09:52.070, 31.03.2016","24,5","0,0","367.001.600","120.615.912","124.649.472","114.676.640","20.633","0","168","27"
"17:09:53.085, 31.03.2016","21,1","0,0","367.001.600","125.536.248","124.649.472","114.676.640","20.633","0","168","27"
"17:09:54.323, 31.03.2016","61,1","1,1","368.050.176","105.367.952","124.911.616","114.924.592","20.634","0","168","27"
"17:09:55.292, 31.03.2016","80,3","0,0","368.050.176","153.804.040","124.911.616","114.924.592","20.634","0","168","27"
"17:09:56.307, 31.03.2016","74,1","0,5","372.768.768","125.781.496","125.173.760","115.242.064","20.710","0","168","27"
"17:09:57.320, 31.03.2016","94,1","0,9","372.768.768","97.647.552","126.091.264","115.993.872","20.728","0","168","27"
"17:09:58.351, 31.03.2016","71,4","0,0","372.768.768","181.073.584","126.091.264","115.993.872","20.728","0","168","27"
"17:09:59.383, 31.03.2016","76,5","0,2","372.244.480","136.832.000","126.091.264","116.148.704","20.728","0","168","27"
"17:10:00.383, 31.03.2016","75,0","0,2","371.720.192","100.391.872","126.353.408","116.407.144","20.755","0","168","27"
"17:10:01.383, 31.03.2016","74,2","0,0","371.720.192","178.580.136","126.353.408","116.407.144","20.756","0","168","27"
"17:10:02.414, 31.03.2016","74,6","0,1","371.195.904","154.884.656","126.353.408","116.445.304","20.757","0","168","27"
"17:10:03.414, 31.03.2016","59,7","0,0","371.195.904","194.308.104","126.353.408","116.445.304","20.760","0","168","27"
"17:10:04.430, 31.03.2016","47,2","0,1","371.720.192","105.528.256","126.615.552","116.502.944","20.761","0","168","27"
"17:10:05.444, 31.03.2016","32,4","0,0","371.720.192","117.061.136","126.615.552","116.502.944","20.762","0","168","27"
"17:10:06.460, 31.03.2016","0,7","0,0","371.720.192","118.066.896","126.615.552","116.502.944","20.762","0","168","27"
"17:10:07.467, 31.03.2016","4,7","0,0","371.720.192","119.097.264","126.615.552","116.502.944","20.762","0","168","27"
