"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Size [B]","Used [B]","Total loaded","Shared loaded","Live","Daemon"
"16:42:27.773, 31.03.2016","0,0","0,0","402.128.896","139.083.152","113.025.024","104.416.904","19.790","0","124","29"
"16:42:28.789, 31.03.2016","0,7","0,0","402.128.896","139.823.672","113.025.024","104.416.904","19.792","0","125","29"
"16:42:29.805, 31.03.2016","6,6","0,0","402.128.896","142.194.608","113.025.024","104.416.904","19.792","0","125","29"
"16:42:30.820, 31.03.2016","1,9","0,0","402.128.896","142.946.328","113.025.024","104.416.904","19.795","0","125","29"
"16:42:31.836, 31.03.2016","3,5","0,0","402.128.896","143.957.336","113.025.024","104.416.904","19.795","0","126","29"
"16:42:32.852, 31.03.2016","1,9","0,0","402.128.896","145.000.440","113.025.024","104.416.904","19.796","0","127","29"
"16:42:33.867, 31.03.2016","0,7","0,0","402.128.896","146.037.352","113.025.024","104.416.904","19.796","0","128","29"
"16:42:34.883, 31.03.2016","1,9","0,0","402.128.896","148.828.880","113.025.024","104.416.904","19.796","0","130","29"
"16:42:35.899, 31.03.2016","1,1","0,0","402.128.896","150.035.352","113.025.024","104.416.904","19.796","0","130","27"
"16:42:36.914, 31.03.2016","2,3","0,0","402.128.896","151.327.888","113.025.024","104.416.904","19.797","0","129","25"
"16:42:37.930, 31.03.2016","3,3","0,0","402.128.896","153.065.160","113.025.024","104.416.904","19.797","0","132","25"
"16:42:38.945, 31.03.2016","3,9","0,0","402.128.896","154.907.072","113.025.024","104.416.904","19.797","0","136","25"
"16:42:39.961, 31.03.2016","4,6","0,0","402.128.896","158.308.464","113.025.024","104.416.904","19.797","0","139","25"
"16:42:40.977, 31.03.2016","1,9","0,0","402.128.896","160.675.816","113.025.024","104.416.904","19.797","0","143","25"
"16:42:41.977, 31.03.2016","2,3","0,0","402.128.896","162.967.104","113.025.024","104.416.904","19.798","0","147","25"
"16:42:42.992, 31.03.2016","1,8","0,0","402.128.896","165.498.952","113.025.024","104.416.904","19.798","0","151","25"
"16:42:44.008, 31.03.2016","4,6","0,0","402.128.896","168.001.896","113.025.024","104.416.904","19.798","0","157","25"
"16:42:45.024, 31.03.2016","5,0","0,5","402.128.896","101.202.752","115.646.464","106.957.704","19.800","0","159","25"
"16:42:46.039, 31.03.2016","8,5","0,0","402.128.896","103.967.088","115.646.464","106.957.704","19.801","0","164","25"
"16:42:47.055, 31.03.2016","4,4","0,0","402.128.896","107.282.200","115.646.464","106.957.704","19.801","0","166","25"
"16:42:48.071, 31.03.2016","2,7","0,0","402.128.896","109.916.048","115.646.464","106.957.704","19.803","0","166","25"
"16:42:49.086, 31.03.2016","2,7","0,0","402.128.896","112.072.936","115.646.464","106.957.704","19.804","0","166","25"
"16:42:50.100, 31.03.2016","5,2","0,0","402.128.896","117.897.080","115.646.464","106.957.704","19.805","0","166","25"
"16:42:51.103, 31.03.2016","2,3","0,0","402.128.896","120.965.160","115.646.464","106.957.704","19.805","0","166","25"
"16:42:52.119, 31.03.2016","4,6","0,0","402.128.896","124.260.600","115.646.464","106.957.704","19.808","0","166","25"
"16:42:53.119, 31.03.2016","14,0","0,0","402.128.896","134.721.208","115.646.464","106.957.704","19.815","0","166","25"
"16:42:54.134, 31.03.2016","18,7","0,0","402.128.896","145.313.104","115.646.464","106.957.704","19.830","0","166","25"
"16:42:55.150, 31.03.2016","23,5","0,0","402.128.896","157.617.472","115.646.464","106.957.704","19.832","0","166","25"
"16:42:56.166, 31.03.2016","16,4","0,8","401.604.608","104.820.280","116.432.896","107.559.400","19.834","0","166","25"
"16:42:57.181, 31.03.2016","19,5","0,0","401.604.608","115.666.080","116.432.896","107.559.400","19.836","0","166","25"
"16:42:58.197, 31.03.2016","32,4","0,0","401.604.608","126.525.920","116.432.896","107.559.400","19.842","0","166","25"
"16:42:59.199, 31.03.2016","10,5","0,0","401.604.608","138.454.840","116.432.896","107.559.400","19.842","0","166","25"
"16:43:00.215, 31.03.2016","19,4","0,0","401.604.608","151.979.344","116.432.896","107.559.400","19.843","0","166","25"
"16:43:01.215, 31.03.2016","8,2","0,0","401.604.608","163.683.784","116.432.896","107.559.400","19.843","0","166","25"
"16:43:02.231, 31.03.2016","13,0","0,6","398.458.880","113.612.248","116.432.896","107.945.744","19.843","0","166","25"
"16:43:03.246, 31.03.2016","11,7","0,0","398.458.880","126.408.656","116.432.896","107.945.744","19.847","0","166","25"
"16:43:04.262, 31.03.2016","12,5","0,0","398.458.880","140.066.816","116.432.896","107.945.744","19.852","0","166","25"
"16:43:05.262, 31.03.2016","13,6","0,0","398.458.880","157.064.128","116.432.896","107.945.744","19.879","0","166","25"
"16:43:06.277, 31.03.2016","21,5","0,8","400.556.032","110.705.064","117.219.328","108.415.096","19.882","0","166","25"
"16:43:07.293, 31.03.2016","18,0","0,0","400.556.032","133.160.968","117.219.328","108.415.096","19.885","0","166","25"
"16:43:08.324, 31.03.2016","14,8","0,0","400.556.032","147.191.392","117.219.328","108.415.096","19.903","0","166","25"
"16:43:09.340, 31.03.2016","28,1","0,6","396.361.728","107.000.864","118.267.904","109.507.184","20.043","0","166","25"
"16:43:10.356, 31.03.2016","21,3","0,0","396.361.728","132.191.768","118.267.904","109.507.184","20.047","0","166","25"
"16:43:11.371, 31.03.2016","13,2","0,0","396.361.728","147.414.088","118.267.904","109.507.184","20.047","0","166","25"
"16:43:12.387, 31.03.2016","43,7","0,0","396.361.728","167.727.744","118.267.904","109.507.184","20.048","0","166","25"
"16:43:13.403, 31.03.2016","13,6","0,6","395.837.440","126.107.536","118.792.192","109.863.504","20.054","0","166","25"
"16:43:14.418, 31.03.2016","15,4","0,0","395.837.440","145.996.368","118.792.192","109.863.504","20.054","0","166","25"
"16:43:15.418, 31.03.2016","14,4","0,0","395.837.440","172.283.768","118.792.192","109.863.504","20.063","0","166","25"
"16:43:16.434, 31.03.2016","19,1","0,6","391.643.136","128.237.960","119.054.336","110.099.800","20.064","0","166","25"
"16:43:17.450, 31.03.2016","8,5","0,0","391.643.136","145.461.352","119.054.336","110.099.800","20.064","0","166","25"
"16:43:18.449, 31.03.2016","27,3","0,0","391.643.136","170.609.936","119.054.336","110.099.800","20.091","0","166","25"
"16:43:19.465, 31.03.2016","22,6","0,4","391.118.848","126.725.504","119.578.624","110.606.288","20.091","0","166","25"
"16:43:20.481, 31.03.2016","23,8","0,0","391.118.848","154.059.208","119.578.624","110.606.288","20.091","0","166","25"
"16:43:21.496, 31.03.2016","17,5","0,0","391.118.848","178.314.088","119.578.624","110.606.288","20.091","0","166","25"
"16:43:22.512, 31.03.2016","21,0","0,5","386.400.256","137.053.688","119.840.768","110.992.568","20.092","0","166","25"
"16:43:23.528, 31.03.2016","27,7","0,0","386.400.256","165.638.760","119.840.768","110.992.568","20.092","0","166","25"
"16:43:24.543, 31.03.2016","30,5","0,4","384.303.104","121.244.840","120.102.912","111.230.040","20.094","0","166","25"
"16:43:25.559, 31.03.2016","20,3","0,0","384.303.104","153.283.552","120.102.912","111.230.040","20.094","0","166","25"
"16:43:26.575, 31.03.2016","17,9","0,0","384.303.104","183.393.264","120.102.912","111.230.040","20.095","0","166","25"
"16:43:27.590, 31.03.2016","17,1","0,6","380.108.800","134.795.912","120.627.200","111.464.832","20.101","0","166","25"
"16:43:28.606, 31.03.2016","18,3","0,0","380.108.800","167.362.272","120.627.200","111.464.832","20.102","0","166","25"
"16:43:29.606, 31.03.2016","16,7","0,5","379.584.512","117.970.672","120.889.344","111.628.992","20.102","0","166","25"
"16:43:30.622, 31.03.2016","21,8","0,0","379.584.512","148.518.544","120.889.344","111.628.992","20.112","0","166","25"
"16:43:31.637, 31.03.2016","35,1","0,0","379.584.512","180.528.632","120.889.344","111.628.992","20.112","0","166","25"
"16:43:32.653, 31.03.2016","20,7","1,0","376.963.072","129.898.096","120.889.344","111.943.592","20.117","0","166","25"
"16:43:33.668, 31.03.2016","12,5","0,0","376.963.072","161.485.632","120.889.344","111.943.592","20.117","0","166","25"
"16:43:34.684, 31.03.2016","24,6","0,0","376.963.072","197.405.536","120.889.344","111.943.592","20.117","0","166","25"
