"Time [ms]","Live","Daemon","Total loaded","Shared loaded","Size [B]","Used [B]","Size [B]","Used [B]","CPU usage [%]","GC activity [%]"
"17:12:40.825, 31.03.2016","128","24","19.815","0","115.695.616","106.889.008","465.567.744","111.656.256","0,0","0,0"
"17:12:41.825, 31.03.2016","146","24","19.817","0","115.695.616","106.889.008","465.567.744","116.335.488","6,2","0,0"
"17:12:42.840, 31.03.2016","169","24","19.817","0","115.695.616","106.889.008","465.567.744","133.915.136","24,2","0,0"
"17:12:43.856, 31.03.2016","169","24","19.817","0","115.695.616","106.889.008","465.567.744","144.088.232","19,9","0,0"
"17:12:44.864, 31.03.2016","169","24","19.824","0","116.219.904","107.533.672","465.567.744","140.460.232","51,8","0,8"
"17:12:45.864, 31.03.2016","169","24","19.849","0","116.744.192","107.964.288","465.567.744","116.880.392","35,1","0,2"
"17:12:46.880, 31.03.2016","169","24","19.849","0","116.744.192","107.964.288","465.567.744","140.949.224","19,1","0,0"
"17:12:47.895, 31.03.2016","169","24","19.849","0","116.744.192","107.964.288","465.567.744","152.051.528","16,3","0,0"
"17:12:49.452, 31.03.2016","165","24","19.876","0","117.006.336","108.480.128","464.519.168","149.432.344","44,4","0,2"
"17:12:50.545, 31.03.2016","165","24","19.896","0","118.448.128","109.548.320","459.800.576","164.382.136","61,0","1,1"
"17:12:52.243, 31.03.2016","165","24","19.896","0","118.710.272","109.733.992","458.227.712","158.050.928","100,0","1,4"
"17:12:52.618, 31.03.2016","165","24","19.896","0","118.972.416","109.885.456","463.994.880","195.726.536","40,3","0,7"
"17:12:53.462, 31.03.2016","165","24","19.897","0","119.234.560","110.307.128","465.567.744","235.632.448","85,8","2,2"
"17:12:54.523, 31.03.2016","165","24","19.897","0","119.234.560","110.376.744","465.567.744","198.748.616","100,0","2,6"
"17:12:55.539, 31.03.2016","167","26","19.898","0","119.496.704","110.571.168","460.849.152","198.891.432","43,4","1,0"
"17:12:56.555, 31.03.2016","167","26","19.898","0","119.758.848","110.606.040","465.567.744","205.262.840","46,4","0,4"
"17:12:57.567, 31.03.2016","167","26","19.935","0","120.020.992","111.038.440","460.324.864","210.840.712","72,2","0,7"
"17:12:58.598, 31.03.2016","167","26","20.102","0","120.545.280","111.427.272","465.567.744","253.201.560","81,8","1,3"
"17:12:59.692, 31.03.2016","167","26","20.154","0","121.331.712","112.074.088","460.849.152","219.605.288","85,7","3,8"
"17:13:00.768, 31.03.2016","167","26","20.156","0","121.856.000","112.492.624","462.946.304","291.870.960","60,5","1,6"
"17:13:02.080, 31.03.2016","168","27","20.190","0","121.856.000","112.763.480","462.422.016","243.318.856","100,0","2,4"
"17:13:03.361, 31.03.2016","168","27","20.190","0","122.118.144","112.893.568","462.422.016","278.601.944","71,6","1,0"
"17:13:03.924, 31.03.2016","168","27","20.190","0","122.118.144","112.918.408","461.373.440","234.626.392","100,0","1,9"
"17:13:05.064, 31.03.2016","168","27","20.197","0","122.118.144","112.986.792","461.897.728","299.881.472","60,2","1,7"
"17:13:06.033, 31.03.2016","168","27","20.197","0","122.118.144","112.986.792","461.897.728","351.316.032","100,0","0,0"
"17:13:07.049, 31.03.2016","168","27","20.198","0","122.118.144","113.073.152","462.422.016","340.025.048","56,2","0,6"
"17:13:08.065, 31.03.2016","168","27","20.198","0","122.380.288","113.089.680","463.470.592","264.697.848","46,6","0,8"
"17:13:09.065, 31.03.2016","168","27","20.238","0","122.380.288","113.089.680","463.470.592","309.597.696","40,3","0,0"
"17:13:10.080, 31.03.2016","168","27","20.238","0","122.380.288","113.267.656","461.897.728","298.560.264","64,9","0,3"
"17:13:11.080, 31.03.2016","168","27","20.242","0","122.380.288","113.273.968","465.567.744","358.082.280","83,0","0,7"
"17:13:12.080, 31.03.2016","168","27","20.251","0","122.642.432","113.328.912","465.567.744","352.603.152","67,1","0,8"
"17:13:13.096, 31.03.2016","168","27","20.251","0","122.642.432","113.328.912","465.567.744","388.645.072","45,7","0,0"
"17:13:14.096, 31.03.2016","168","27","20.251","0","122.642.432","113.328.912","465.567.744","403.922.288","52,3","0,0"
"17:13:15.111, 31.03.2016","168","27","20.251","0","122.904.576","113.559.832","465.567.744","319.314.776","60,5","1,6"
"17:13:16.111, 31.03.2016","168","27","20.251","0","122.904.576","113.559.832","465.567.744","340.194.144","32,0","0,0"
"17:13:17.115, 31.03.2016","168","27","20.251","0","122.904.576","113.559.832","465.567.744","346.177.840","5,1","0,0"
"17:13:18.119, 31.03.2016","168","27","20.251","0","122.904.576","113.559.832","465.567.744","347.210.752","4,0","0,0"
